,Equal Weight
2022-05-25,0.000607035099856213
2022-05-26,0.014119770759275702
2022-05-27,0.001428910855430933
2022-05-30,-0.009523143575177329
2022-05-31,0.003841978513937546
2022-06-01,0.000612454725870772
2022-06-02,0.01141580192024104
2022-06-03,-0.014559372175717249
2022-06-06,-0.014040549178744763
2022-06-07,-0.009745853026026149
2022-06-08,-0.011386885315902097
2022-06-09,-0.007439664340062295
2022-06-10,-0.018579703976323123
2022-06-13,-0.03495000213179447
2022-06-14,-0.009647861622909527
2022-06-15,0.01685500063850573
2022-06-17,-0.01950819195747575
2022-06-20,-0.004717260508754307
2022-06-21,0.000595718488972818
2022-06-22,-0.004671481148246139
2022-06-23,-0.007400488143055715
2022-06-24,0.0026638387200239822
2022-06-27,0.009544890480515874
2022-06-28,-0.006827469119346484
2022-06-29,-0.011288922425658331
2022-06-30,-0.009648138592732839
2022-07-01,0.006707434567480904
2022-07-04,-0.008375186183642917
2022-07-05,-0.0009620321330632046
2022-07-06,0.009561591280932666
2022-07-07,0.021995178998435557
2022-07-08,-0.0033014470309116178
2022-07-11,-0.02209292994197213
2022-07-12,0.003280764828981167
2022-07-13,-0.005952936325431545
2022-07-14,-0.008043639340866925
2022-07-15,0.0028258758625494575
2022-07-18,-0.0009461275086686088
2022-07-19,0.013787097800529781
2022-07-20,0.008278035863813085
2022-07-21,0.002818211112126124
2022-07-22,-0.004177740971744153
2022-07-25,0.004193210538506644
2022-07-26,-0.01141518805012805
2022-07-27,0.02391029394142231
2022-07-28,0.010165944137370053
2022-07-29,0.0013373898763390764
2022-08-01,-0.006971027797728737
2022-08-02,0.005470309243130176
2022-08-03,0.014584189982632353
2022-08-04,0.027381087413524078
2022-08-05,0.001814933639855403
2022-08-08,0.01528554580026635
2022-08-09,-0.00689617552306088
2022-08-10,0.020345836125432403
2022-08-11,-0.010500500894854888
2022-08-12,0.016392345226293226
2022-08-15,0.005352894947078645
2022-08-16,-0.0009718705331553531
2022-08-17,0.004441972691436857
2022-08-18,-0.006058299113921988
2022-08-19,-0.01969384339879181
2022-08-22,-0.012196053061873864
2022-08-23,0.016530054320180797
2022-08-24,0.007501999576280055
2022-08-25,0.005027102884596047
2022-08-26,-0.012725463110586394
2022-08-29,0.0009690387080392637
2022-08-30,-0.01393051354552448
2022-08-31,-0.009863231367392422
2022-09-01,0.006181659212136776
2022-09-02,0.004794506122467309
2022-09-05,0.011951921843357714
2022-09-06,-0.021842944125909813
2022-09-08,-0.0007346000347924905
2022-09-09,0.0167276889204854
2022-09-12,0.008297799232681436
2022-09-13,-0.02460803921377708
2022-09-14,-0.0015879642498738762
2022-09-15,-0.006990167178758193
2022-09-16,-0.00805674136865455
2022-09-19,0.020803821524332484
2022-09-20,0.002426550608200142
2022-09-21,-0.00405533290803786
2022-09-22,0.016839761942675543
2022-09-23,-0.016807815417805266
2022-09-26,-0.029261367107822612
2022-09-27,-0.010940678698127324
2022-09-28,0.003469623239027545
2022-09-29,-0.014507840756520689
2022-09-30,0.019364017821053504
2022-10-03,0.04690454454798558
2022-10-04,-0.0012545374113639256
2022-10-05,0.002026764674129985
2022-10-06,0.007490477886926248
2022-10-07,-0.0130505783047142
2022-10-10,0.0036750611513334808
2022-10-11,-0.006429344290093076
2022-10-13,-0.002981395914044986
2022-10-14,-0.02136993385570767
2022-10-17,0.014226973204432383
2022-10-18,0.018668376484658075
2022-10-19,0.0010905843731207937
2022-10-20,0.0015776129833340884
2022-10-21,0.016990154597889343
2022-10-24,-0.018891646927298528
2022-10-25,-0.01377580839722656
2022-10-26,-0.023027661695843325
2022-10-27,0.02860303669811192
2022-10-28,0.007097895889484009
2022-10-31,0.025443958775141714
2022-11-01,0.010266636601249726
2022-11-03,0.0037048081135947273
2022-11-04,0.007576012127402184
2022-11-07,-0.029459339869814534
2022-11-08,0.004898052482869796
2022-11-09,-0.013229426339501636
2022-11-10,-0.04754697555921867
2022-11-11,0.012076688245193425
2022-11-14,0.006662251902881983
2022-11-16,-0.03343173359681529
2022-11-17,-0.013571102942924015
2022-11-18,-0.004921844142935394
2022-11-21,0.016408924484898117
2022-11-22,-0.01450845555443125
2022-11-23,-0.005063152741054008
2022-11-24,0.029559546924938646
2022-11-25,-0.029428281884681298
2022-11-28,-0.008600295871167904
2022-11-29,0.015565018022871373
2022-11-30,0.00806411112317944
2022-12-01,-0.01832774477478603
2022-12-02,0.00872015888109281
2022-12-05,-0.029857784318435075
2022-12-06,0.0044968717733199215
2022-12-07,-0.0018513376463519936
2022-12-08,-0.025171880054618356
2022-12-09,-0.0026270602865995267
2022-12-12,-0.017723354778872498
2022-12-13,-0.021369188488484545
2022-12-14,0.007877333220113206
2022-12-15,-0.000680463130022838
2022-12-16,-0.011804096205041435
2022-12-19,0.019025893231007684
2022-12-20,0.024105504119734333
2022-12-21,0.006757978883022495
2022-12-22,0.00208806044761541
2022-12-23,0.0186885429059129
2022-12-26,-0.01302497451323839
2022-12-27,-0.008619885344996888
2022-12-28,0.02500669941403377
2022-12-29,-0.002855481566021036
2023-01-02,-0.03495753392464673
2023-01-03,-0.025248938807481077
2023-01-04,0.015683643954771117
2023-01-05,0.016512194257131484
2023-01-06,0.015476702945159453
2023-01-09,0.0011249196669846529
2023-01-10,0.022080901988775985
2023-01-11,0.016107404777246783
2023-01-12,-0.0049633334943131055
2023-01-13,-0.012911084572380018
2023-01-16,-0.011873986598874165
2023-01-17,0.017458403235584303
2023-01-18,0.008173061704135834
2023-01-19,0.004652381286305914
2023-01-20,-0.010966963885167231
2023-01-23,-0.00281212955508979
2023-01-24,0.016822079472749524
2023-01-25,0.011242632260153679
2023-01-26,0.002211181465154166
2023-01-27,-0.009149531879406054
2023-01-30,-0.003768767486086833
2023-01-31,0.016812694110531302
2023-02-01,-0.008486280005707274
2023-02-02,-0.013388632890964031
2023-02-03,-0.02141187778191305
2023-02-06,-0.0009537380261990309
2023-02-07,-0.009966987172172285
2023-02-08,0.016704844742722005
2023-02-09,-0.022715165465307562
2023-02-10,0.004291599544377453
